;org:group;concept:instance;org:resource;Activity;Complete Timestamp;lifecycle:transition;case:startdate;case:responsible;case:enddate_planned;case:department;case:group;Case ID;case:deadline;case:channel;case:enddate;Duration
3704;Group 1;task-15980;Resource09;T06 Determine necessity of stop advice;2011-03-14 07:16:49.373000+00:00;complete;2011-02-01 23:00:00.010000+00:00;Resource37;2011-03-29 22:00:00.020000+00:00;General;;case-5877;2011-03-29 22:00:00+00:00;Internet;2011-03-29 22:00:00.020000+00:00;46.647
3705;Group 1;task-15983;Resource09;T10 Determine necessity to stop indication;2011-03-14 07:17:59.434000+00:00;complete;2011-02-01 23:00:00.010000+00:00;Resource37;2011-03-29 22:00:00.020000+00:00;General;;case-5877;2011-03-29 22:00:00+00:00;Internet;2011-03-29 22:00:00.020000+00:00;70.061
3706;EMPTY;task-11308;Resource17;Confirmation of receipt;2011-02-14 08:49:45.134000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;0.0
3707;Group 1;task-12132;Resource17;T06 Determine necessity of stop advice;2011-02-14 08:50:40.423000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;55.289
3708;EMPTY;task-12131;Resource17;T02 Check confirmation of receipt;2011-02-14 08:50:54.090000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;13.667
3709;Group 1;task-12133;Resource17;T10 Determine necessity to stop indication;2011-02-14 08:51:10.694000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;16.604
3710;Group 3;task-12134;Resource10;T04 Determine confirmation of receipt;2011-02-14 11:19:09.483000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;8878.789
3711;Group 2;task-12173;admin1;T05 Print and send confirmation of receipt;2011-02-15 10:22:12.128000+00:00;complete;2011-02-05 23:00:00.010000+00:00;Resource17;2011-04-02 22:00:00.020000+00:00;General;;case-5878;2011-04-02 22:00:00+00:00;Internet;2011-03-31 13:40:23.559000+00:00;82982.645
3712;EMPTY;task-11309;Resource02;Confirmation of receipt;2011-02-23 14:14:53.768000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;0.0
3713;Group 4;task-13886;Resource02;T02 Check confirmation of receipt;2011-02-23 14:15:32.188000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;38.42
3714;Group 1;task-13887;Resource02;T06 Determine necessity of stop advice;2011-02-23 15:43:34.117000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;5281.929
3715;Group 1;task-13897;Resource02;T10 Determine necessity to stop indication;2011-02-23 15:43:54.838000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;20.721
3716;EMPTY;task-13888;Resource19;T04 Determine confirmation of receipt;2011-02-28 07:42:16.545000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;403101.707
3717;Group 2;task-14333;admin1;T05 Print and send confirmation of receipt;2011-03-01 08:45:27.703000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource02;2011-05-15 23:06:40.020000+00:00;General;;case-5879;2011-05-15 23:06:40+00:00;Desk;2011-04-20 12:23:27.429000+00:00;90191.158
3718;EMPTY;task-11342;Resource04;Confirmation of receipt;2011-03-01 10:40:39.151000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;0.0
3719;Group 4;task-14699;Resource04;T02 Check confirmation of receipt;2011-03-01 10:41:06.681000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;27.53
3720;Group 3;task-14701;Resource04;T04 Determine confirmation of receipt;2011-03-01 10:41:16.464000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;9.783
3721;Group 2;task-14702;admin1;T05 Print and send confirmation of receipt;2011-03-01 14:11:11.656000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;12595.192
3722;Group 1;task-14700;Resource04;T06 Determine necessity of stop advice;2011-03-02 15:06:16.190000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;89704.534
3723;Group 1;task-15002;Resource04;T10 Determine necessity to stop indication;2011-03-02 15:06:32.002000+00:00;complete;2011-02-07 00:06:40.010000+00:00;Resource04;2011-04-03 23:06:40.020000+00:00;General;;case-5895;2011-04-03 23:06:40+00:00;Internet;2011-04-04 14:08:08.213000+00:00;15.812
3724;EMPTY;task-11355;Resource06;Confirmation of receipt;2011-03-16 10:31:40.766000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;0.0
3725;Group 4;task-16409;Resource06;T02 Check confirmation of receipt;2011-03-16 10:32:51.310000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;70.544
3726;Group 3;task-16412;Resource06;T04 Determine confirmation of receipt;2011-03-16 10:33:03.326000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;12.016
3727;Group 1;task-16410;Resource06;T06 Determine necessity of stop advice;2011-03-16 10:34:56.807000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;113.481
3728;Group 1;task-16414;Resource06;T10 Determine necessity to stop indication;2011-03-16 10:35:21.411000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;24.604
3729;Group 2;task-16413;admin1;T05 Print and send confirmation of receipt;2011-03-16 12:38:34.942000+00:00;complete;2011-02-08 00:06:40.010000+00:00;Resource52;2011-04-17 23:06:40.020000+00:00;General;Group 10;case-5897;2011-05-02 23:06:40+00:00;Internet;;7393.531
3730;EMPTY;task-11512;Resource01;Confirmation of receipt;2011-02-18 09:56:02.026000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;0.0
3731;Group 4;task-12989;Resource01;T02 Check confirmation of receipt;2011-02-18 09:56:50.315000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;48.289
3732;Group 3;task-12991;Resource01;T04 Determine confirmation of receipt;2011-02-18 09:57:49.808000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;59.493
3733;Group 2;task-12992;Resource01;T05 Print and send confirmation of receipt;2011-02-18 09:58:44.159000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;54.351
3734;Group 1;task-12990;Resource01;T06 Determine necessity of stop advice;2011-02-18 09:59:01.208000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;17.049
3735;Group 1;task-12993;Resource01;T10 Determine necessity to stop indication;2011-02-18 09:59:51.121000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5919;2011-04-05 22:00:00+00:00;Internet;2011-03-31 05:47:54.447000+00:00;49.913
3736;EMPTY;task-11516;Resource01;Confirmation of receipt;2011-02-17 10:26:11.595000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;0.0
3737;Group 4;task-12736;Resource01;T02 Check confirmation of receipt;2011-02-17 10:26:27.011000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;15.416
3738;Group 3;task-12738;Resource01;T04 Determine confirmation of receipt;2011-02-17 10:26:37.683000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;10.672
3739;Group 1;task-12737;Resource01;T06 Determine necessity of stop advice;2011-02-17 10:26:53.996000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;16.313
3740;Group 2;task-12739;Resource01;T05 Print and send confirmation of receipt;2011-02-17 10:27:05.458000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;11.462
3741;Group 1;task-12740;Resource01;T10 Determine necessity to stop indication;2011-02-17 10:28:23.847000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource11;2011-04-05 22:00:00.020000+00:00;General;;case-5921;2011-04-05 22:00:00+00:00;Internet;2011-04-04 06:13:48.018000+00:00;78.389
3742;EMPTY;task-11519;Resource17;Confirmation of receipt;2011-02-18 09:23:35.556000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;0.0
3743;Group 1;task-12972;Resource17;T06 Determine necessity of stop advice;2011-02-18 09:24:03.795000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;28.239
3744;Group 1;task-12973;Resource17;T10 Determine necessity to stop indication;2011-02-18 09:27:14.014000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;190.219
3745;Group 4;task-12971;Resource10;T02 Check confirmation of receipt;2011-02-18 11:41:43.409000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;8069.395
3746;Group 3;task-13056;Resource10;T04 Determine confirmation of receipt;2011-02-18 11:41:57.209000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;13.8
3747;Group 2;task-13057;admin1;T05 Print and send confirmation of receipt;2011-02-22 13:55:29.516000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource17;2011-04-05 22:00:00.020000+00:00;General;;case-5922;2011-04-05 22:00:00+00:00;Internet;2011-04-05 12:29:29.177000+00:00;353612.307
3748;EMPTY;task-11522;Resource07;Confirmation of receipt;2011-02-14 07:29:15.391000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;0.0
3749;Group 4;task-12092;Resource07;T02 Check confirmation of receipt;2011-02-14 07:29:48.971000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;33.58
3750;Group 3;task-12094;Resource07;T04 Determine confirmation of receipt;2011-02-14 07:30:04.764000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;15.793
3751;Group 2;task-12095;Resource07;T05 Print and send confirmation of receipt;2011-02-14 07:30:14.253000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;9.489
3752;Group 1;task-12093;Resource07;T06 Determine necessity of stop advice;2011-02-14 07:30:29.648000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;15.395
3753;Group 1;task-12096;Resource07;T10 Determine necessity to stop indication;2011-02-14 07:30:47.931000+00:00;complete;2011-01-02 23:00:00.010000+00:00;Resource07;2011-02-27 23:00:00.010000+00:00;General;;case-5923;2011-02-27 23:00:00+00:00;Desk;2011-02-17 15:36:58.066000+00:00;18.283
3754;Group 1;task-11526;admin2;Confirmation of receipt;2011-02-09 14:06:38.763000+00:00;complete;2011-01-25 00:06:40.010000+00:00;admin3;2011-03-22 00:06:40.010000+00:00;Customer contact;;case-5926;2011-03-22 00:06:40+00:00;Desk;2011-02-09 14:06:37.905000+00:00;0.0
3755;EMPTY;task-11533;Resource17;Confirmation of receipt;2011-03-15 15:17:26.017000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;0.0
3756;EMPTY;task-16232;Resource17;T02 Check confirmation of receipt;2011-03-15 15:25:57.685000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;511.668
3757;Group 1;task-16233;Resource17;T06 Determine necessity of stop advice;2011-03-15 15:26:08.851000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;11.166
3758;Group 1;task-16239;Resource17;T10 Determine necessity to stop indication;2011-03-15 15:26:20.939000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;12.088
3759;EMPTY;task-16238;Resource17;T04 Determine confirmation of receipt;2011-03-15 15:27:06.675000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;45.736
3760;Group 2;task-16243;Resource17;T05 Print and send confirmation of receipt;2011-03-15 15:27:28.532000+00:00;complete;2011-01-19 00:06:40.010000+00:00;Resource17;2011-07-04 23:06:40.020000+00:00;General;;case-5928;2011-07-04 23:06:40+00:00;Desk;2011-07-06 13:12:01.192000+00:00;21.857
3761;EMPTY;task-11540;Resource05;Confirmation of receipt;2011-02-23 07:59:07.791000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;0.0
3762;Group 4;task-13735;Resource05;T02 Check confirmation of receipt;2011-02-23 07:59:47.945000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;40.154
3763;Group 3;task-13737;Resource05;T04 Determine confirmation of receipt;2011-02-23 08:00:12.959000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;25.014
3764;Group 1;task-13736;Resource05;T06 Determine necessity of stop advice;2011-02-23 08:02:37.380000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;144.421
3765;Group 1;task-13739;Resource05;T10 Determine necessity to stop indication;2011-02-23 08:03:05.639000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;28.259
3766;Group 2;task-13738;admin1;T05 Print and send confirmation of receipt;2011-02-23 10:41:29.984000+00:00;complete;2011-01-23 23:00:00.010000+00:00;Resource05;2011-03-13 23:00:00.010000+00:00;General;;case-5932;2011-03-13 23:00:00+00:00;Desk;2011-02-25 15:28:20.090000+00:00;9504.345
3767;EMPTY;task-11634;Resource02;Confirmation of receipt;2011-02-22 15:38:42.897000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;0.0
3768;Group 4;task-13712;Resource02;T02 Check confirmation of receipt;2011-02-22 15:47:45.719000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;542.822
3769;Group 1;task-13713;Resource02;T06 Determine necessity of stop advice;2011-02-22 15:51:11.147000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;205.428
3770;Group 1;task-13715;Resource02;T10 Determine necessity to stop indication;2011-02-22 15:51:35.046000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;23.899
3771;EMPTY;task-13714;Resource19;T04 Determine confirmation of receipt;2011-02-23 09:44:27.382000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;64372.336
3772;Group 2;task-13827;admin1;T05 Print and send confirmation of receipt;2011-02-23 11:03:35.307000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource02;2011-05-03 23:06:40.020000+00:00;General;;case-5941;2011-05-03 23:06:40+00:00;Internet;2011-05-02 09:33:28.439000+00:00;4747.925
3773;EMPTY;task-11648;Resource18;Confirmation of receipt;2011-02-14 15:20:31.973000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;0.0
3774;Group 1;task-12259;Resource18;T06 Determine necessity of stop advice;2011-02-14 15:21:20.653000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;48.68
3775;Group 1;task-12260;Resource18;T10 Determine necessity to stop indication;2011-02-14 15:21:36.335000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;15.682
3776;EMPTY;task-12258;Resource24;T02 Check confirmation of receipt;2011-02-21 10:44:26.314000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;588169.979
3777;Group 3;task-13316;Resource10;T04 Determine confirmation of receipt;2011-02-21 14:42:33.606000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;14287.292
3778;Group 2;task-13425;admin1;T05 Print and send confirmation of receipt;2011-02-23 10:06:33.728000+00:00;complete;2011-02-10 00:06:40.010000+00:00;Resource18;2011-04-06 23:06:40.020000+00:00;General;;case-5942;2011-04-06 23:06:40+00:00;Internet;2011-04-13 09:53:23.561000+00:00;156240.122
3779;EMPTY;task-11649;Resource02;Confirmation of receipt;2011-02-14 14:46:18.518000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;0.0
3780;Group 4;task-12241;Resource02;T02 Check confirmation of receipt;2011-02-14 14:46:36.377000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;17.859
3781;Group 1;task-12242;Resource02;T06 Determine necessity of stop advice;2011-02-14 14:47:01.511000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;25.134
3782;Group 1;task-12244;Resource02;T10 Determine necessity to stop indication;2011-02-14 14:47:44.760000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;43.249
3783;Group 3;task-12243;Resource10;T04 Determine confirmation of receipt;2011-02-15 15:43:16.047000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;89731.287
3784;Group 2;task-12417;admin1;T05 Print and send confirmation of receipt;2011-02-16 13:23:01.644000+00:00;complete;2011-02-08 23:00:00.010000+00:00;Resource02;2011-04-05 22:00:00.020000+00:00;General;;case-5943;2011-04-05 22:00:00+00:00;Internet;2011-02-22 09:33:42.168000+00:00;77985.597
3785;EMPTY;task-11744;Resource04;Confirmation of receipt;2011-03-01 10:58:34.191000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;0.0
3786;Group 4;task-14704;Resource04;T02 Check confirmation of receipt;2011-03-01 10:58:46.817000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;12.626
3787;Group 3;task-14706;Resource04;T04 Determine confirmation of receipt;2011-03-01 10:58:56.649000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;9.832
3788;Group 2;task-14707;admin1;T05 Print and send confirmation of receipt;2011-03-01 14:09:46.516000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;11449.867
3789;Group 1;task-14705;Resource04;T06 Determine necessity of stop advice;2011-03-03 10:52:38.970000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;160972.454
3790;Group 1;task-15073;Resource04;T10 Determine necessity to stop indication;2011-03-03 10:52:52.889000+00:00;complete;2011-02-09 00:06:40.010000+00:00;Resource04;2011-04-05 23:06:40.020000+00:00;General;;case-5946;2011-04-05 23:06:40+00:00;Internet;2011-04-06 09:26:14.402000+00:00;13.919
3791;EMPTY;task-11839;Resource18;Confirmation of receipt;2011-02-14 15:30:11.722000+00:00;complete;2011-02-09 23:00:00.010000+00:00;Resource18;2011-04-06 22:00:00.020000+00:00;General;;case-5952;2011-04-06 22:00:00+00:00;Internet;2011-03-07 07:46:58.682000+00:00;0.0
3792;Group 1;task-12268;Resource18;T06 Determine necessity of stop advice;2011-02-14 15:30:31.521000+00:00;complete;2011-02-09 23:00:00.010000+00:00;Resource18;2011-04-06 22:00:00.020000+00:00;General;;case-5952;2011-04-06 22:00:00+00:00;Internet;2011-03-07 07:46:58.682000+00:00;19.799
3793;Group 1;task-12269;Resource18;T10 Determine necessity to stop indication;2011-02-14 15:30:44.688000+00:00;complete;2011-02-09 23:00:00.010000+00:00;Resource18;2011-04-06 22:00:00.020000+00:00;General;;case-5952;2011-04-06 22:00:00+00:00;Internet;2011-03-07 07:46:58.682000+00:00;13.167
3794;EMPTY;task-12267;Resource24;T02 Check confirmation of receipt;2011-02-21 10:45:07.795000+00:00;complete;2011-02-09 23:00:00.010000+00:00;Resource18;2011-04-06 22:00:00.020000+00:00;General;;case-5952;2011-04-06 22:00:00+00:00;Internet;2011-03-07 07:46:58.682000+00:00;587663.107
